Index,Freight,Freight_Box ,Timestamp,Temp,Humidity
1,0ctf01,123451,20200321T010101,2,20
2,0ctf01,123451,20200321T020102,2,20
3,0ctf01,123451,20200321T030102,2,20
4,0ctf01,123451,20200321T040102,2,20
5,0ctf01,123451,20200321T050102,2,20
6,0ctf01,123451,20200321T060102,2,20
7,0ctf01,123451,20200321T070102,2,20
8,0ctf01,123451,20200321T080102,2,20
9,0ctf01,123451,20200321T090102,2,20
10,0ctf01,123451,20200321T100102,2,20
11,0ctf01,123451,20200321T110102,2,20
12,0ctf01,123451,20200321T120102,2,20
13,0ctf01,123451,20200321T130102,2,20
14,0ctf01,123451,20200321T140102,2,20
15,0ctf01,123451,20200321T150102,2,20
16,0ctf01,123451,20200321T160102,2,20
17,0ctf01,123451,20200321T170102,2,20
18,0ctf01,123451,20200321T180102,2,20
19,0ctf01,123451,20200321T190102,3,30
20,0ctf01,123451,20200321T200102,3,30
21,0ctf01,123451,20200321T210102,3,30
22,0ctf01,123451,20200321T220102,3,30
23,0ctf01,123451,20200321T230102,3,30
24,0ctf01,123451,20200322T000000,3,30
25,0ctf01,123451,20200322T010101,3,30
26,0ctf01,123451,20200322T020102,3,30
27,0ctf01,123451,20200322T030102,3,30
28,0ctf01,123451,20200322T040102,3,30
29,0ctf01,123451,20200322T050102,3,30
30,0ctf01,123451,20200322T060102,3,30
31,0ctf01,123451,20200322T070102,3,30
32,0ctf01,123451,20200322T080102,3,30
33,0ctf01,123451,20200322T090102,3,30
34,0ctf01,123451,20200322T100102,3,30
35,0ctf01,123451,20200322T110102,3,30
36,0ctf01,123451,20200322T120102,3,30
37,0ctf01,123451,20200322T130102,3,30
38,0ctf01,123451,20200322T140102,3,30
39,0ctf01,123451,20200322T150102,3,30
40,0ctf01,123451,20200322T160102,2.75,30
41,0ctf01,123451,20200322T170102,2.75,30
42,0ctf01,123451,20200322T180102,2.75,30
43,0ctf01,123451,20200322T190102,2.75,30
44,0ctf01,123451,20200322T200102,2.75,30
45,0ctf01,123451,20200322T210102,2.75,30
46,0ctf01,123451,20200322T220102,2.75,30
47,0ctf01,123451,20200322T230102,2.75,30
48,0ctf01,123451,20200323T000000,2.75,30
49,0ctf01,123451,20200323T010101,2.75,30
50,0ctf01,123451,20200323T020102,2.75,30
51,0ctf01,123451,20200323T030102,2.75,30
52,0ctf01,123451,20200323T040102,2.75,30
53,0ctf01,123451,20200323T050102,2.75,30
54,0ctf01,123451,20200323T060102,2.75,30
55,0ctf01,123451,20200323T070102,2.75,30
56,0ctf01,123451,20200323T080102,2.75,30
57,0ctf01,123451,20200323T090102,2.75,30
58,0ctf01,123451,20200323T100102,3.5,23
59,0ctf01,123451,20200323T110102,3.5,23
60,0ctf01,123451,20200323T120102,3.5,23
61,0ctf01,123451,20200323T130102,3.5,23
62,0ctf01,123451,20200323T140102,3.5,23
63,0ctf01,123451,20200323T150102,3.5,23
64,0ctf01,123451,20200323T160102,3.5,23
65,0ctf01,123451,20200323T170102,3.5,23
66,0ctf01,123451,20200323T180102,3.5,23
67,0ctf01,123451,20200323T190102,3.5,23
68,0ctf01,123451,20200323T200102,3.5,23
69,0ctf01,123451,20200323T210102,3.5,23
70,0ctf01,123451,20200323T220102,3.5,23
71,0ctf01,123451,20200323T230102,3.5,23
72,0ctf01,123451,20200324T000000,3.5,23
73,0ctf01,123451,20200324T010101,3.5,23
74,0ctf01,123451,20200324T020102,3.5,23
75,0ctf01,123451,20200324T030102,3.5,23
76,0ctf01,123451,20200324T040102,3.5,23
77,0ctf01,123451,20200324T050102,3.5,23
78,0ctf01,123451,20200324T060102,3.5,23
79,0ctf01,123451,20200324T070102,3.75,23
80,0ctf01,123451,20200324T080102,3.75,23
81,0ctf01,123451,20200324T090102,3.75,23
82,0ctf01,123451,20200324T100102,3.75,23
83,0ctf01,123451,20200324T110102,3.75,23
84,0ctf01,123451,20200324T120102,3.75,23
85,0ctf01,123451,20200324T130102,3.75,23
86,0ctf01,123451,20200324T140102,3.75,23
87,0ctf01,123451,20200324T150102,3.75,23
88,0ctf01,123451,20200324T160102,3.75,23
89,0ctf01,123451,20200324T170102,3.75,23
90,0ctf01,123451,20200324T180102,3.75,23
91,0ctf01,123451,20200324T190102,3.75,23
92,0ctf01,123451,20200324T200102,3.75,23
93,0ctf01,123451,20200324T210102,3.75,23
94,0ctf01,123451,20200324T220102,3.75,23
95,0ctf01,123451,20200324T230102,3.75,23
96,0ctf01,123451,20200325T000000,3.75,23
97,0ctf01,123451,20200325T010101,3.75,23
98,0ctf01,123451,20200325T020102,3.75,23
99,0ctf01,123451,20200325T030102,4,23
100,0ctf01,123451,20200325T040102,4,23
101,0ctf01,123451,20200325T050102,4,23
102,0ctf01,123451,20200325T060102,4,23
103,0ctf01,123451,20200325T070102,4,23
104,0ctf01,123451,20200325T080102,4,23
105,0ctf01,123451,20200325T090102,4,23
106,0ctf01,123451,20200325T100102,4,23
107,0ctf01,123451,20200325T110102,4,23
108,0ctf01,123451,20200325T120102,4,23
109,0ctf01,123451,20200325T130102,4,23
110,0ctf01,123451,20200325T140102,4,23
111,0ctf01,123451,20200325T150102,4,34
112,0ctf01,123451,20200325T160102,4,34
113,0ctf01,123451,20200325T170102,4,34
114,0ctf01,123451,20200325T180102,4,34
115,0ctf01,123451,20200325T190102,4,34
116,0ctf01,123451,20200325T200102,4,34
117,0ctf01,123451,20200325T210102,4,34
118,0ctf01,123451,20200325T220102,4,34
119,0ctf01,123451,20200325T230102,4,34
120,0ctf01,123451,20200326T000000,4,34
121,0ctf01,123451,20200326T010101,4,34
122,0ctf01,123451,20200326T020102,4,34
123,0ctf01,123451,20200326T030102,4,34
124,0ctf01,123451,20200326T040102,4.1,34
125,0ctf01,123451,20200326T050102,4.1,34
126,0ctf01,123451,20200326T060102,4.1,34
127,0ctf01,123451,20200326T070102,4.1,34
128,0ctf01,123451,20200326T080102,4.1,34
129,0ctf01,123451,20200326T090102,4.1,34
130,0ctf01,123451,20200326T100102,4.1,34
131,0ctf01,123451,20200326T110102,4.1,34
132,0ctf01,123451,20200326T120102,4.1,34
133,0ctf01,123451,20200326T130102,4.1,34
134,0ctf01,123451,20200326T140102,4.1,34
135,0ctf01,123451,20200326T150102,4.1,34
136,0ctf01,123451,20200326T160102,4.1,34
137,0ctf01,123451,20200326T170102,4.1,34
138,0ctf01,123451,20200326T180102,4.1,34
139,0ctf01,123451,20200326T190102,4.1,34
140,0ctf01,123451,20200326T200102,4.1,34
141,0ctf01,123451,20200326T210102,4.1,34
142,0ctf01,123451,20200326T220102,4.1,34
143,0ctf01,123451,20200326T230102,4.1,34
144,0ctf01,123451,20200327T000000,4.1,34
145,0ctf01,123451,20200327T010101,4.1,34
146,0ctf01,123451,20200327T020102,4.1,34
147,0ctf01,123451,20200327T030102,4.1,34
148,0ctf01,123451,20200327T040102,4.1,34
149,0ctf01,123451,20200327T050102,4.1,34
150,0ctf01,123451,20200327T060102,4.1,34
151,0ctf01,123451,20200327T070102,4.1,34
152,0ctf01,123451,20200327T080102,4.1,34
153,0ctf01,123451,20200327T090102,4.1,34
154,0ctf01,123451,20200327T100102,4.1,31
155,0ctf01,123451,20200327T110102,4.1,31
156,0ctf01,123451,20200327T120102,4.1,31
157,0ctf01,123451,20200327T130102,4.1,31
158,0ctf01,123451,20200327T140102,4.1,31
159,0ctf01,123451,20200327T150102,4.1,31
160,0ctf01,123451,20200327T160102,4.1,31
161,0ctf01,123451,20200327T170102,3.9,31
162,0ctf01,123451,20200327T180102,3.9,31
163,0ctf01,123451,20200327T190102,3.9,31
164,0ctf01,123451,20200327T200102,3.9,31
165,0ctf01,123451,20200327T210102,3.9,31
166,0ctf01,123451,20200327T220102,3.9,31
167,0ctf01,123451,20200327T230102,3.9,31
168,0ctf01,123451,20200328T000000,3.9,31
169,0ctf01,123451,20200328T010101,3.9,31
170,0ctf01,123451,20200328T020102,3.9,31
171,0ctf01,123451,20200328T030102,3.9,31
172,0ctf01,123451,20200328T040102,3.9,31
173,0ctf01,123451,20200328T050102,3.9,31
174,0ctf01,123451,20200328T060102,3.9,31
175,0ctf01,123451,20200328T070102,3.9,31
176,0ctf01,123451,20200328T080102,3.9,31
177,0ctf01,123451,20200328T090102,4.5,31
178,0ctf01,123451,20200328T100102,4.5,31
179,0ctf01,123451,20200328T110102,4.5,31
180,0ctf01,123451,20200328T120102,4.5,31
181,0ctf01,123451,20200328T130102,3.8,31
182,0ctf01,123451,20200328T140102,3.8,31
183,0ctf01,123451,20200328T150102,3.8,31
184,0ctf01,123451,20200328T160102,3.8,31
185,0ctf01,123451,20200328T170102,3.8,31
186,0ctf01,123451,20200328T180102,3.8,31
187,0ctf01,123451,20200328T190102,3.8,31
188,0ctf01,123451,20200328T200102,3.8,31
189,0ctf01,123451,20200328T210102,3.8,31
190,0ctf01,123451,20200328T220102,3.8,31
191,0ctf01,123451,20200328T230102,3.8,31
192,0ctf01,123451,20200329T000000,3.8,31
193,0ctf01,123451,20200329T010101,3.8,31
194,0ctf01,123451,20200329T020102,3.8,31
195,0ctf01,123451,20200329T030102,3.8,31
196,0ctf01,123451,20200329T040102,3.8,31
197,0ctf01,123451,20200329T050102,3.8,31
198,0ctf01,123451,20200329T060102,3.8,31
199,0ctf01,123451,20200329T070102,3.8,31
200,0ctf01,123451,20200329T080102,3.75,31
201,0ctf01,123451,20200329T090102,3.75,31
202,0ctf01,123451,20200329T100102,3.75,31
203,0ctf01,123451,20200329T110102,3.75,31
204,0ctf01,123451,20200329T120102,3.75,31
205,0ctf01,123451,20200329T130102,3.75,31
206,0ctf01,123451,20200329T140102,3.75,31
207,0ctf01,123451,20200329T150102,3.75,31
208,0ctf01,123451,20200329T160102,3.75,31
209,0ctf01,123451,20200329T170102,3.75,31
210,0ctf01,123451,20200329T180102,3.75,28
211,0ctf01,123451,20200329T190102,3.75,28
212,0ctf01,123451,20200329T200102,3.75,28
213,0ctf01,123451,20200329T210102,3.75,28
214,0ctf01,123451,20200329T220102,3.75,28
215,0ctf01,123451,20200329T230102,3.75,28
216,0ctf01,123451,20200330T000000,3.75,28
217,0ctf01,123451,20200330T010101,3.75,28
218,0ctf01,123451,20200330T020102,3.75,28
219,0ctf01,123451,20200330T030102,3.75,28
220,0ctf01,123451,20200330T040102,3.75,28
221,0ctf01,123451,20200330T050102,3.75,28
222,0ctf01,123451,20200330T060102,3.75,28
223,0ctf01,123451,20200330T070102,3.75,28
224,0ctf01,123451,20200330T080102,3.75,28
225,0ctf01,123451,20200330T090102,3.75,28
226,0ctf01,123451,20200330T100102,3.75,28
227,0ctf01,123451,20200330T110102,3.75,28
228,0ctf01,123451,20200330T120102,3.75,28
229,0ctf01,123451,20200330T130102,3.9,28
230,0ctf01,123451,20200330T140102,3.9,28
231,0ctf01,123451,20200330T150102,3.9,28
232,0ctf01,123451,20200330T160102,3.9,28
233,0ctf01,123451,20200330T170102,3.9,28
234,0ctf01,123451,20200330T180102,3.9,28
235,0ctf01,123451,20200330T190102,3.9,28
236,0ctf01,123451,20200330T200102,3.9,28
237,0ctf01,123451,20200330T210102,3.9,28
238,0ctf01,123451,20200330T220102,3.9,28
239,0ctf01,123451,20200330T230102,3.9,28
240,0ctf01,123451,20200331T000000,3.9,28
241,0ctf01,123451,20200331T010101,3.9,28
242,0ctf01,123451,20200331T020102,3.9,28
243,0ctf01,123451,20200331T030102,3.9,28
244,0ctf01,123451,20200331T040102,3.9,28
245,0ctf01,123451,20200331T050102,3.9,28
246,0ctf01,123451,20200331T060102,3.9,28
247,0ctf01,123451,20200331T070102,3.9,30
248,0ctf01,123451,20200331T080102,3.9,30
249,0ctf01,123451,20200331T090102,3.9,30
250,0ctf01,123451,20200331T100102,3.9,30
251,0ctf01,123451,20200331T110102,3.9,30
252,0ctf01,123451,20200331T120102,3.9,30
253,0ctf01,123451,20200331T130102,3.9,30
254,0ctf01,123451,20200331T140102,3.9,30
255,0ctf01,123451,20200331T150102,3.9,30
256,0ctf01,123451,20200331T160102,3.9,30
257,0ctf01,123451,20200331T170102,3.9,30
